korean_word,category
고민하다,중립/인지 (Neutral/Cognitive)
고심하다,중립/인지 (Neutral/Cognitive)
고적하다,슬픔/비탄 (Sadness/Grief)
고통,슬픔/비탄 (Sadness/Grief)
고통받는,슬픔/비탄 (Sadness/Grief)
고통스럽다,슬픔/비탄 (Sadness/Grief)
곤혹,놀라움/당황 (Surprise/Bewilderment)
곤혹스럽다,놀라움/당황 (Surprise/Bewilderment)
골나다,분노/짜증 (Anger/Irritation)
공감,사랑/애정 (Love/Affection)
공감하다,사랑/애정 (Love/Affection)
공격,중립/인지 (Neutral/Cognitive)
공격받은,중립/인지 (Neutral/Cognitive)
공격적이다,중립/인지 (Neutral/Cognitive)
공상,중립/인지 (Neutral/Cognitive)
공상적이다,중립/인지 (Neutral/Cognitive)
공정하다,중립/인지 (Neutral/Cognitive)
공정함,중립/인지 (Neutral/Cognitive)
공포,두려움/불안 (Fear/Anxiety)
공포스럽다,두려움/불안 (Fear/Anxiety)
공허하다,중립/인지 (Neutral/Cognitive)
공허함,중립/인지 (Neutral/Cognitive)
관리하는,중립/인지 (Neutral/Cognitive)
관심,중립/인지 (Neutral/Cognitive)
관심없다,중립/인지 (Neutral/Cognitive)
관심있다,중립/인지 (Neutral/Cognitive)
관여,중립/인지 (Neutral/Cognitive)
관여하는,중립/인지 (Neutral/Cognitive)
괘씸하다,분노/짜증 (Anger/Irritation)
괘씸함,분노/짜증 (Anger/Irritation)
괜찮다,기쁨 (Joy/Happiness)
괴로움,슬픔/비탄 (Sadness/Grief)
괴롭다,슬픔/비탄 (Sadness/Grief)
괴짜,중립/인지 (Neutral/Cognitive)
굉장하다,기쁨 (Joy/Happiness)
굉장함,기쁨 (Joy/Happiness)
교감,사랑/애정 (Love/Affection)
교감하다,사랑/애정 (Love/Affection)
교만,중립/인지 (Neutral/Cognitive)
교만하다,중립/인지 (Neutral/Cognitive)
교활하다,혐오/경멸 (Disgust/Contempt)
교활함,혐오/경멸 (Disgust/Contempt)
구슬프다,슬픔/비탄 (Sadness/Grief)
굴욕,수치/죄책감 (Shame/Guilt)
굴욕적이다,수치/죄책감 (Shame/Guilt)
궁금증,존경/감탄 (Admiration/Gratitude)
궁금해하는,존경/감탄 (Admiration/Gratitude)
궁핍한,중립/인지 (Neutral/Cognitive)
권태,중립/인지 (Neutral/Cognitive)
권태롭다,중립/인지 (Neutral/Cognitive)
귀여움,사랑/애정 (Love/Affection)
귀엽다,사랑/애정 (Love/Affection)
귀찮다,분노/짜증 (Anger/Irritation)
귀찮음,분노/짜증 (Anger/Irritation)
그리움,갈망/그리움 (Desire/Longing)
그리워하다,갈망/그리움 (Desire/Longing)
그립다,갈망/그리움 (Desire/Longing)
근심,두려움/불안 (Fear/Anxiety)
근심걱정,두려움/불안 (Fear/Anxiety)
근심하는,두려움/불안 (Fear/Anxiety)
근심하다,두려움/불안 (Fear/Anxiety)
금지하는,중립/인지 (Neutral/Cognitive)
급함,중립/인지 (Neutral/Cognitive)
긍지,자부심/자신감 (Pride/Confidence)
기겁,두려움/불안 (Fear/Anxiety)
기겁하는,두려움/불안 (Fear/Anxiety)
기겁하다,두려움/불안 (Fear/Anxiety)
기고만장,자부심/자신감 (Pride/Confidence)
기고만장하다,자부심/자신감 (Pride/Confidence)
기교,중립/인지 (Neutral/Cognitive)
기껍다,기쁨 (Joy/Happiness)
기대,갈망/그리움 (Desire/Longing)
기대하다,갈망/그리움 (Desire/Longing)
기막히다,놀라움/당황 (Surprise/Bewilderment)
기만적이다,혐오/경멸 (Disgust/Contempt)
기묘하다,중립/인지 (Neutral/Cognitive)
기묘함,중립/인지 (Neutral/Cognitive)
기민하다,중립/인지 (Neutral/Cognitive)
기민함,중립/인지 (Neutral/Cognitive)
기분,중립/인지 (Neutral/Cognitive)
기쁘다,기쁨 (Joy/Happiness)
기쁨,기쁨 (Joy/Happiness)
기술,중립/인지 (Neutral/Cognitive)
기운없는,슬픔/비탄 (Sadness/Grief)
기운없음,슬픔/비탄 (Sadness/Grief)
기원,갈망/그리움 (Desire/Longing)
기원하다,갈망/그리움 (Desire/Longing)
기절초풍,놀라움/당황 (Surprise/Bewilderment)
기절초풍하다,놀라움/당황 (Surprise/Bewilderment)
기절초풍한,놀라움/당황 (Surprise/Bewilderment)
기죽다,슬픔/비탄 (Sadness/Grief)
기죽은,슬픔/비탄 (Sadness/Grief)
기특한,중립/인지 (Neutral/Cognitive)
기특함,중립/인지 (Neutral/Cognitive)
긴장,두려움/불안 (Fear/Anxiety)
긴장하다,두려움/불안 (Fear/Anxiety)
긴장한,두려움/불안 (Fear/Anxiety)
까무러치다,두려움/불안 (Fear/Anxiety)
깜짝 놀란,놀라움/당황 (Surprise/Bewilderment)
깜찍하다,기쁨 (Joy/Happiness)
깜찍함,기쁨 (Joy/Happiness)
깨달음,존경/감탄 (Admiration/Gratitude)
깨우침,존경/감탄 (Admiration/Gratitude)
꺼리다,두려움/불안 (Fear/Anxiety)
꺼림직하다,두려움/불안 (Fear/Anxiety)
꺼림칙하다,두려움/불안 (Fear/Anxiety)
께름직하다,두려움/불안 (Fear/Anxiety)
꿀꿀하다,슬픔/비탄 (Sadness/Grief)
꿀꿀함,슬픔/비탄 (Sadness/Grief)
꿈같다,기쁨 (Joy/Happiness)
끔찍,두려움/불안 (Fear/Anxiety)
끔찍하다,두려움/불안 (Fear/Anxiety)
낙,기쁨 (Joy/Happiness)
낙담,슬픔/비탄 (Sadness/Grief)
낙담하다,슬픔/비탄 (Sadness/Grief)
낙담한,슬픔/비탄 (Sadness/Grief)
낙망,슬픔/비탄 (Sadness/Grief)
낙망하다,슬픔/비탄 (Sadness/Grief)
낙망한,슬픔/비탄 (Sadness/Grief)
낙심,슬픔/비탄 (Sadness/Grief)
낙심하다,슬픔/비탄 (Sadness/Grief)
낙심한,슬픔/비탄 (Sadness/Grief)
난처,놀라움/당황 (Surprise/Bewilderment)
난처하다,놀라움/당황 (Surprise/Bewilderment)
남부끄럽다,수치/죄책감 (Shame/Guilt)
남부럽다,자부심/자신감 (Pride/Confidence)
낭만,기쁨 (Joy/Happiness)
낭만적이다,기쁨 (Joy/Happiness)
낭패,놀라움/당황 (Surprise/Bewilderment)
낭패스럽다,놀라움/당황 (Surprise/Bewilderment)
낮은,중립/인지 (Neutral/Cognitive)
낯간지럽다,기쁨 (Joy/Happiness)
낯뜨겁다,수치/죄책감 (Shame/Guilt)
낯설다,중립/인지 (Neutral/Cognitive)
낯섦,중립/인지 (Neutral/Cognitive)
냉혹하다,혐오/경멸 (Disgust/Contempt)
냉혹함,혐오/경멸 (Disgust/Contempt)
너그러움,사랑/애정 (Love/Affection)
너그럽다,사랑/애정 (Love/Affection)
넌더리나다,혐오/경멸 (Disgust/Contempt)
노기,분노/짜증 (Anger/Irritation)
노발대발,분노/짜증 (Anger/Irritation)
노발대발하는,분노/짜증 (Anger/Irritation)
노발대발하다,분노/짜증 (Anger/Irritation)
노심초사,두려움/불안 (Fear/Anxiety)
노심초사하다,두려움/불안 (Fear/Anxiety)
노여움,분노/짜증 (Anger/Irritation)
노엽다,분노/짜증 (Anger/Irritation)
노파심,두려움/불안 (Fear/Anxiety)
노하다,분노/짜증 (Anger/Irritation)
놀라다,놀라움/당황 (Surprise/Bewilderment)
놀란,놀라움/당황 (Surprise/Bewilderment)
놀람,놀라움/당황 (Surprise/Bewilderment)
놀랍다,놀라움/당황 (Surprise/Bewilderment)
놀리는,혐오/경멸 (Disgust/Contempt)
놀리다,혐오/경멸 (Disgust/Contempt)
농담,기쁨 (Joy/Happiness)
농담하는,기쁨 (Joy/Happiness)
눈물,슬픔/비탄 (Sadness/Grief)
눈물 어린,슬픔/비탄 (Sadness/Grief)
눈물겹다,슬픔/비탄 (Sadness/Grief)
눈물짓다,슬픔/비탄 (Sadness/Grief)
뉘우치는,수치/죄책감 (Shame/Guilt)
뉘우치다,수치/죄책감 (Shame/Guilt)
뉘우침,수치/죄책감 (Shame/Guilt)
느끼다,중립/인지 (Neutral/Cognitive)
다정하다,사랑/애정 (Love/Affection)
다정함,사랑/애정 (Love/Affection)
다치다,슬픔/비탄 (Sadness/Grief)
다친,슬픔/비탄 (Sadness/Grief)
단념,중립/인지 (Neutral/Cognitive)
단호한,자부심/자신감 (Pride/Confidence)
달가워하다,존경/감탄 (Admiration/Gratitude)
달갑다,존경/감탄 (Admiration/Gratitude)
달달하다,기쁨 (Joy/Happiness)
달달함,기쁨 (Joy/Happiness)
달성,기쁨 (Joy/Happiness)
달성하다,기쁨 (Joy/Happiness)
담담하다,평온/안정 (Calm/Comfort)
담담함,평온/안정 (Calm/Comfort)
답답하다,분노/짜증 (Anger/Irritation)
답답함,분노/짜증 (Anger/Irritation)
당당하다,자부심/자신감 (Pride/Confidence)
당당함,자부심/자신감 (Pride/Confidence)
당혹,놀라움/당황 (Surprise/Bewilderment)
당혹스럽다,놀라움/당황 (Surprise/Bewilderment)
당혹하다,놀라움/당황 (Surprise/Bewilderment)
당황,놀라움/당황 (Surprise/Bewilderment)
당황스럽다,놀라움/당황 (Surprise/Bewilderment)
당황하다,놀라움/당황 (Surprise/Bewilderment)
당황한,놀라움/당황 (Surprise/Bewilderment)
대경실색,놀라움/당황 (Surprise/Bewilderment)
대단하다,기쁨 (Joy/Happiness)
대단함,기쁨 (Joy/Happiness)
대담하다,자부심/자신감 (Pride/Confidence)
대립,중립/인지 (Neutral/Cognitive)
대성통곡,슬픔/비탄 (Sadness/Grief)
대성통곡하다,슬픔/비탄 (Sadness/Grief)
대치,중립/인지 (Neutral/Cognitive)
덤덤하다,평온/안정 (Calm/Comfort)
덤덤함,평온/안정 (Calm/Comfort)
도외시,중립/인지 (Neutral/Cognitive)
도외시된,중립/인지 (Neutral/Cognitive)
도전,자부심/자신감 (Pride/Confidence)
도취감,기쁨 (Joy/Happiness)
도취하다,기쁨 (Joy/Happiness)
독하다,혐오/경멸 (Disgust/Contempt)
동경,갈망/그리움 (Desire/Longing)
동경하는,갈망/그리움 (Desire/Longing)
동경하다,갈망/그리움 (Desire/Longing)
동요,놀라움/당황 (Surprise/Bewilderment)
동요된,놀라움/당황 (Surprise/Bewilderment)
동요하다,놀라움/당황 (Surprise/Bewilderment)
동정,사랑/애정 (Love/Affection)
동정하는,사랑/애정 (Love/Affection)
동정하다,사랑/애정 (Love/Affection)
두근두근,자부심/자신감 (Pride/Confidence)
두려움,두려움/불안 (Fear/Anxiety)
두려워하는,두려움/불안 (Fear/Anxiety)
두려워하다,두려움/불안 (Fear/Anxiety)
두렵다,두려움/불안 (Fear/Anxiety)
뒤숭숭하다,두려움/불안 (Fear/Anxiety)
뒤숭숭함,두려움/불안 (Fear/Anxiety)
드라마틱하다,기쁨 (Joy/Happiness)
든든하다,자부심/자신감 (Pride/Confidence)
든든함,자부심/자신감 (Pride/Confidence)
들뜨다,기쁨 (Joy/Happiness)
들뜬,기쁨 (Joy/Happiness)
들뜸,기쁨 (Joy/Happiness)
따뜻하다,사랑/애정 (Love/Affection)
따뜻함,사랑/애정 (Love/Affection)
따분하다,중립/인지 (Neutral/Cognitive)
따분함,중립/인지 (Neutral/Cognitive)
딱하다,슬픔/비탄 (Sadness/Grief)
딱함,슬픔/비탄 (Sadness/Grief)
떠름하다,중립/인지 (Neutral/Cognitive)
떨리는,두려움/불안 (Fear/Anxiety)
떨리다,두려움/불안 (Fear/Anxiety)
떨림,두려움/불안 (Fear/Anxiety)
떫다,중립/인지 (Neutral/Cognitive)
떳떳하다,자부심/자신감 (Pride/Confidence)
떳떳함,자부심/자신감 (Pride/Confidence)
뚱하다,중립/인지 (Neutral/Cognitive)
뚱함,중립/인지 (Neutral/Cognitive)
뜨끔하다,놀라움/당황 (Surprise/Bewilderment)
마땅찮다,분노/짜증 (Anger/Irritation)
마땅찮음,분노/짜증 (Anger/Irritation)
마음고생,슬픔/비탄 (Sadness/Grief)
마음고생하는,슬픔/비탄 (Sadness/Grief)
마음고생하다,슬픔/비탄 (Sadness/Grief)
마음놓다,평온/안정 (Calm/Comfort)
마지못하다,중립/인지 (Neutral/Cognitive)
마지못함,중립/인지 (Neutral/Cognitive)
만족,기쁨 (Joy/Happiness)
만족감,기쁨 (Joy/Happiness)
만족하는,기쁨 (Joy/Happiness)
만족하다,기쁨 (Joy/Happiness)
맘놓다,평온/안정 (Calm/Comfort)
망극하다,중립/인지 (Neutral/Cognitive)
망설이다,중립/인지 (Neutral/Cognitive)
망설임,중립/인지 (Neutral/Cognitive)
망연자실,중립/인지 (Neutral/Cognitive)
망연자실하다,중립/인지 (Neutral/Cognitive)
망연자실한,중립/인지 (Neutral/Cognitive)
망연하다,중립/인지 (Neutral/Cognitive)
망연함,중립/인지 (Neutral/Cognitive)
매력,기쁨 (Joy/Happiness)
매력적이다,기쁨 (Joy/Happiness)
매료,사랑/애정 (Love/Affection)
매료되다,사랑/애정 (Love/Affection)
매료된,사랑/애정 (Love/Affection)
매혹,사랑/애정 (Love/Affection)
매혹되다,사랑/애정 (Love/Affection)
매혹된,사랑/애정 (Love/Affection)
맥빠지다,슬픔/비탄 (Sadness/Grief)
머쓱하다,놀라움/당황 (Surprise/Bewilderment)
먹먹하다,슬픔/비탄 (Sadness/Grief)
먹먹함,슬픔/비탄 (Sadness/Grief)
멋있다,기쁨 (Joy/Happiness)
멋지다,기쁨 (Joy/Happiness)
멋쩍다,놀라움/당황 (Surprise/Bewilderment)
멍청,중립/인지 (Neutral/Cognitive)
멍청한,중립/인지 (Neutral/Cognitive)
멍한,놀라움/당황 (Surprise/Bewilderment)
멍함,놀라움/당황 (Surprise/Bewilderment)
멸시,혐오/경멸 (Disgust/Contempt)
멸시하다,혐오/경멸 (Disgust/Contempt)
모멸,혐오/경멸 (Disgust/Contempt)
모멸감,혐오/경멸 (Disgust/Contempt)
모멸하다,혐오/경멸 (Disgust/Contempt)
모욕감,혐오/경멸 (Disgust/Contempt)
모욕적이다,혐오/경멸 (Disgust/Contempt)
모험,자부심/자신감 (Pride/Confidence)
몰두,중립/인지 (Neutral/Cognitive)
몰두한,중립/인지 (Neutral/Cognitive)
몸서리치는,두려움/불안 (Fear/Anxiety)
못되다,혐오/경멸 (Disgust/Contempt)
못마땅하다,분노/짜증 (Anger/Irritation)
못마땅함,분노/짜증 (Anger/Irritation)
몽상,중립/인지 (Neutral/Cognitive)
몽상하는,중립/인지 (Neutral/Cognitive)
몽환적이다,중립/인지 (Neutral/Cognitive)
묘하다,중립/인지 (Neutral/Cognitive)
묘함,중립/인지 (Neutral/Cognitive)
무가치한,중립/인지 (Neutral/Cognitive)
무감각하다,중립/인지 (Neutral/Cognitive)
무감각함,중립/인지 (Neutral/Cognitive)
무감동,중립/인지 (Neutral/Cognitive)
무감동하다,중립/인지 (Neutral/Cognitive)
무관심,중립/인지 (Neutral/Cognitive)
무관심하다,중립/인지 (Neutral/Cognitive)
무기력,중립/인지 (Neutral/Cognitive)
무기력하다,중립/인지 (Neutral/Cognitive)
무덤덤하다,평온/안정 (Calm/Comfort)
무덤덤함,평온/안정 (Calm/Comfort)
무력감,중립/인지 (Neutral/Cognitive)
무력하다,중립/인지 (Neutral/Cognitive)
무례,혐오/경멸 (Disgust/Contempt)
무례하다,혐오/경멸 (Disgust/Contempt)
무료하다,중립/인지 (Neutral/Cognitive)
무료함,중립/인지 (Neutral/Cognitive)
무색하다,수치/죄책감 (Shame/Guilt)
무서움,두려움/불안 (Fear/Anxiety)
무서워하는,두려움/불안 (Fear/Anxiety)
무서워하다,두려움/불안 (Fear/Anxiety)
무섭다,두려움/불안 (Fear/Anxiety)
무시,혐오/경멸 (Disgust/Contempt)
무시된,혐오/경멸 (Disgust/Contempt)
무시무시하다,두려움/불안 (Fear/Anxiety)
무시하다,혐오/경멸 (Disgust/Contempt)
무식,중립/인지 (Neutral/Cognitive)
무신경한,중립/인지 (Neutral/Cognitive)
무심하다,중립/인지 (Neutral/Cognitive)
무심함,중립/인지 (Neutral/Cognitive)
무안하다,수치/죄책감 (Shame/Guilt)
무안함,수치/죄책감 (Shame/Guilt)
무정한,혐오/경멸 (Disgust/Contempt)
무지,중립/인지 (Neutral/Cognitive)
뭉클,존경/감탄 (Admiration/Gratitude)
뭉클하다,존경/감탄 (Admiration/Gratitude)
미심쩍다,중립/인지 (Neutral/Cognitive)
미심쩍어하는,중립/인지 (Neutral/Cognitive)
미안하다,수치/죄책감 (Shame/Guilt)
미안함,수치/죄책감 (Shame/Guilt)
미안해하는,수치/죄책감 (Shame/Guilt)
민감하다,중립/인지 (Neutral/Cognitive)
민감함,중립/인지 (Neutral/Cognitive)
민망하다,수치/죄책감 (Shame/Guilt)
민망함,수치/죄책감 (Shame/Guilt)
민망해하다,수치/죄책감 (Shame/Guilt)
믿음,중립/인지 (Neutral/Cognitive)
바람,갈망/그리움 (Desire/Longing)
바보,중립/인지 (Neutral/Cognitive)
박진감,기쁨 (Joy/Happiness)
반감,분노/짜증 (Anger/Irritation)
반발,분노/짜증 (Anger/Irritation)
반성,수치/죄책감 (Shame/Guilt)
반성하는,수치/죄책감 (Shame/Guilt)
반성하다,수치/죄책감 (Shame/Guilt)
반하다,사랑/애정 (Love/Affection)
반항심,분노/짜증 (Anger/Irritation)
발끈하다,분노/짜증 (Anger/Irritation)
방어,중립/인지 (Neutral/Cognitive)
방어적이다,중립/인지 (Neutral/Cognitive)
방치,중립/인지 (Neutral/Cognitive)
배려,사랑/애정 (Love/Affection)
배려하는,사랑/애정 (Love/Affection)
배신감,중립/인지 (Neutral/Cognitive)
백일몽,중립/인지 (Neutral/Cognitive)
버릇없는,혐오/경멸 (Disgust/Contempt)
벅차다,기쁨 (Joy/Happiness)
번뇌,슬픔/비탄 (Sadness/Grief)
번뇌하는,슬픔/비탄 (Sadness/Grief)
번뇌하다,슬픔/비탄 (Sadness/Grief)
번민,슬픔/비탄 (Sadness/Grief)
번민하는,슬픔/비탄 (Sadness/Grief)
번민하다,슬픔/비탄 (Sadness/Grief)
베풀다,사랑/애정 (Love/Affection)
보고싶다,슬픔/비탄 (Sadness/Grief)
보고싶음,슬픔/비탄 (Sadness/Grief)
보람,기쁨 (Joy/Happiness)
보람있다,기쁨 (Joy/Happiness)
보람차다,기쁨 (Joy/Happiness)
보살핌,사랑/애정 (Love/Affection)
복종,중립/인지 (Neutral/Cognitive)
본받다,존경/감탄 (Admiration/Gratitude)
볼만하다,기쁨 (Joy/Happiness)
부끄러움,수치/죄책감 (Shame/Guilt)
부끄럽다,수치/죄책감 (Shame/Guilt)
부담스러움,중립/인지 (Neutral/Cognitive)
부담스럽다,중립/인지 (Neutral/Cognitive)
부드러움,사랑/애정 (Love/Affection)
부드럽다,사랑/애정 (Love/Affection)
부러움,중립/인지 (Neutral/Cognitive)
부럽다,중립/인지 (Neutral/Cognitive)
부루퉁하다,분노/짜증 (Anger/Irritation)
부루퉁함,분노/짜증 (Anger/Irritation)
부아,분노/짜증 (Anger/Irritation)
부족한,중립/인지 (Neutral/Cognitive)
분,분노/짜증 (Anger/Irritation)
분개,분노/짜증 (Anger/Irritation)
분개하는,분노/짜증 (Anger/Irritation)
분개하다,분노/짜증 (Anger/Irritation)
분노,분노/짜증 (Anger/Irritation)
분노하다,분노/짜증 (Anger/Irritation)
분노한,분노/짜증 (Anger/Irritation)
분통,분노/짜증 (Anger/Irritation)
분하다,분노/짜증 (Anger/Irritation)
분함,분노/짜증 (Anger/Irritation)
불만,분노/짜증 (Anger/Irritation)
불만스럽다,분노/짜증 (Anger/Irritation)
불만족,분노/짜증 (Anger/Irritation)
불만족하다,분노/짜증 (Anger/Irritation)
불신,중립/인지 (Neutral/Cognitive)
불신하는,중립/인지 (Neutral/Cognitive)
불신하다,중립/인지 (Neutral/Cognitive)
불쌍하다,슬픔/비탄 (Sadness/Grief)
불쌍함,슬픔/비탄 (Sadness/Grief)
불안,두려움/불안 (Fear/Anxiety)
불안하다,두려움/불안 (Fear/Anxiety)
불쾌하다,분노/짜증 (Anger/Irritation)
불쾌함,분노/짜증 (Anger/Irritation)
불편,분노/짜증 (Anger/Irritation)
불편하다,분노/짜증 (Anger/Irritation)
불평,분노/짜증 (Anger/Irritation)
불평하는,분노/짜증 (Anger/Irritation)
불행,슬픔/비탄 (Sadness/Grief)
불행하다,슬픔/비탄 (Sadness/Grief)
불확실한,두려움/불안 (Fear/Anxiety)
비겁자,중립/인지 (Neutral/Cognitive)
비관,중립/인지 (Neutral/Cognitive)
비난,혐오/경멸 (Disgust/Contempt)
비난받는,혐오/경멸 (Disgust/Contempt)
비난하는,혐오/경멸 (Disgust/Contempt)
비난하다,혐오/경멸 (Disgust/Contempt)
