english_word,category
bittersweetness,슬픔/비탄 (Sadness/Grief)
blame,수치/죄책감 (Shame/Guilt)
blank,중립/인지 (Neutral/Cognitive)
blankness,중립/인지 (Neutral/Cognitive)
blasé,중립/인지 (Neutral/Cognitive)
bliss,기쁨 (Joy/Happiness)
bloated,중립/인지 (Neutral/Cognitive)
bloatedness,중립/인지 (Neutral/Cognitive)
blue,슬픔/비탄 (Sadness/Grief)
boastful,자부심/자신감 (Pride/Confidence)
bold,자부심/자신감 (Pride/Confidence)
bored,혐오/경멸 (Disgust/Contempt)
boredom,혐오/경멸 (Disgust/Contempt)
boring,혐오/경멸 (Disgust/Contempt)
boringness,혐오/경멸 (Disgust/Contempt)
bother,분노/짜증 (Anger/Irritation)
bothering,분노/짜증 (Anger/Irritation)
brave,자부심/자신감 (Pride/Confidence)
bravery,자부심/자신감 (Pride/Confidence)
breathless,중립/인지 (Neutral/Cognitive)
breeziness,기쁨 (Joy/Happiness)
breezy,기쁨 (Joy/Happiness)
bright,기쁨 (Joy/Happiness)
broken-hearted,슬픔/비탄 (Sadness/Grief)
bummed,슬픔/비탄 (Sadness/Grief)
burden,슬픔/비탄 (Sadness/Grief)
burdened,슬픔/비탄 (Sadness/Grief)
calculating,중립/인지 (Neutral/Cognitive)
calculation,중립/인지 (Neutral/Cognitive)
calm,평온/안정 (Calm/Comfort)
calmness,평온/안정 (Calm/Comfort)
captive,존경/감탄 (Admiration/Gratitude)
care,사랑/애정 (Love/Affection)
cared,사랑/애정 (Love/Affection)
carefree,자부심/자신감 (Pride/Confidence)
careful,중립/인지 (Neutral/Cognitive)
caring,사랑/애정 (Love/Affection)
cautious,두려움/불안 (Fear/Anxiety)
celebrate,기쁨 (Joy/Happiness)
celebrating,기쁨 (Joy/Happiness)
celebration,기쁨 (Joy/Happiness)
certain,자부심/자신감 (Pride/Confidence)
chagrin,수치/죄책감 (Shame/Guilt)
challenged,중립/인지 (Neutral/Cognitive)
challenging,중립/인지 (Neutral/Cognitive)
charitable,사랑/애정 (Love/Affection)
charm,사랑/애정 (Love/Affection)
charmed,사랑/애정 (Love/Affection)
cheated,수치/죄책감 (Shame/Guilt)
cheer,기쁨 (Joy/Happiness)
cheered,기쁨 (Joy/Happiness)
cheerful,기쁨 (Joy/Happiness)
cheerfulness,기쁨 (Joy/Happiness)
cheerless,슬픔/비탄 (Sadness/Grief)
cheerlessness,슬픔/비탄 (Sadness/Grief)
cheesy,혐오/경멸 (Disgust/Contempt)
cherish,사랑/애정 (Love/Affection)
cherishing,사랑/애정 (Love/Affection)
chiliness,중립/인지 (Neutral/Cognitive)
chilliness,중립/인지 (Neutral/Cognitive)
chilly,중립/인지 (Neutral/Cognitive)
cliché,혐오/경멸 (Disgust/Contempt)
cliché-ridden,혐오/경멸 (Disgust/Contempt)
close,사랑/애정 (Love/Affection)
clueless,중립/인지 (Neutral/Cognitive)
cocky,자부심/자신감 (Pride/Confidence)
cold,혐오/경멸 (Disgust/Contempt)
cold-blooded,혐오/경멸 (Disgust/Contempt)
cold-bloodedness,혐오/경멸 (Disgust/Contempt)
cold-hearted,혐오/경멸 (Disgust/Contempt)
cold-heartedness,혐오/경멸 (Disgust/Contempt)
comfort,사랑/애정 (Love/Affection)
comfortable,사랑/애정 (Love/Affection)
comforted,사랑/애정 (Love/Affection)
commiserating,사랑/애정 (Love/Affection)
commiseration,사랑/애정 (Love/Affection)
commune,사랑/애정 (Love/Affection)
communion,사랑/애정 (Love/Affection)
compassion,사랑/애정 (Love/Affection)
compassionate,사랑/애정 (Love/Affection)
complacency,중립/인지 (Neutral/Cognitive)
complaining,분노/짜증 (Anger/Irritation)
complaint,분노/짜증 (Anger/Irritation)
composed,평온/안정 (Calm/Comfort)
conceit,자부심/자신감 (Pride/Confidence)
conceited,자부심/자신감 (Pride/Confidence)
concentrating,중립/인지 (Neutral/Cognitive)
concentration,중립/인지 (Neutral/Cognitive)
concern,중립/인지 (Neutral/Cognitive)
condemn,혐오/경멸 (Disgust/Contempt)
condemnation,혐오/경멸 (Disgust/Contempt)
condescending,혐오/경멸 (Disgust/Contempt)
condolence,사랑/애정 (Love/Affection)
confidence,자부심/자신감 (Pride/Confidence)
confident,자부심/자신감 (Pride/Confidence)
conflict,중립/인지 (Neutral/Cognitive)
conflicted,중립/인지 (Neutral/Cognitive)
conflicting,중립/인지 (Neutral/Cognitive)
confliction,중립/인지 (Neutral/Cognitive)
confounding,중립/인지 (Neutral/Cognitive)
confrontation,중립/인지 (Neutral/Cognitive)
confrontational,중립/인지 (Neutral/Cognitive)
confronted,중립/인지 (Neutral/Cognitive)
confused,놀라움/당황 (Surprise/Bewilderment)
confusing,놀라움/당황 (Surprise/Bewilderment)
confusion,놀라움/당황 (Surprise/Bewilderment)
congratulate,존경/감탄 (Admiration/Gratitude)
congratulating,존경/감탄 (Admiration/Gratitude)
congratulation,존경/감탄 (Admiration/Gratitude)
considerate,사랑/애정 (Love/Affection)
consideration,사랑/애정 (Love/Affection)
consternate,놀라움/당황 (Surprise/Bewilderment)
consternated,놀라움/당황 (Surprise/Bewilderment)
consternation,놀라움/당황 (Surprise/Bewilderment)
contemn,혐오/경멸 (Disgust/Contempt)
contempt,혐오/경멸 (Disgust/Contempt)
contemptable,혐오/경멸 (Disgust/Contempt)
content,평온/안정 (Calm/Comfort)
contentment,평온/안정 (Calm/Comfort)
contrary,분노/짜증 (Anger/Irritation)
contrite,수치/죄책감 (Shame/Guilt)
contrition,수치/죄책감 (Shame/Guilt)
control,중립/인지 (Neutral/Cognitive)
controlled,중립/인지 (Neutral/Cognitive)
conviction,자부심/자신감 (Pride/Confidence)
convinced,자부심/자신감 (Pride/Confidence)
cool,기쁨 (Joy/Happiness)
cooperation,사랑/애정 (Love/Affection)
cooperative,사랑/애정 (Love/Affection)
courage,자부심/자신감 (Pride/Confidence)
courageous,자부심/자신감 (Pride/Confidence)
coward,두려움/불안 (Fear/Anxiety)
cowardly,두려움/불안 (Fear/Anxiety)
coziness,사랑/애정 (Love/Affection)
cozy,사랑/애정 (Love/Affection)
craft,중립/인지 (Neutral/Cognitive)
crafty,중립/인지 (Neutral/Cognitive)
crank,분노/짜증 (Anger/Irritation)
cranky,분노/짜증 (Anger/Irritation)
craving,갈망/그리움 (Desire/Longing)
creepiness,두려움/불안 (Fear/Anxiety)
creepy,두려움/불안 (Fear/Anxiety)
cringe,수치/죄책감 (Shame/Guilt)
cringey,수치/죄책감 (Shame/Guilt)
critical,중립/인지 (Neutral/Cognitive)
cross,분노/짜증 (Anger/Irritation)
cruel,혐오/경멸 (Disgust/Contempt)
cruelty,혐오/경멸 (Disgust/Contempt)
crush,중립/인지 (Neutral/Cognitive)
crushed,중립/인지 (Neutral/Cognitive)
cry,슬픔/비탄 (Sadness/Grief)
cunning,중립/인지 (Neutral/Cognitive)
curiosity,존경/감탄 (Admiration/Gratitude)
curious,존경/감탄 (Admiration/Gratitude)
cute,기쁨 (Joy/Happiness)
cuteness,기쁨 (Joy/Happiness)
danger,두려움/불안 (Fear/Anxiety)
dare,자부심/자신감 (Pride/Confidence)
daring,자부심/자신감 (Pride/Confidence)
daydream,중립/인지 (Neutral/Cognitive)
daydreaming,중립/인지 (Neutral/Cognitive)
daze,놀라움/당황 (Surprise/Bewilderment)
dazed,놀라움/당황 (Surprise/Bewilderment)
dearness,사랑/애정 (Love/Affection)
debate,중립/인지 (Neutral/Cognitive)
defense,중립/인지 (Neutral/Cognitive)
defensive,중립/인지 (Neutral/Cognitive)
definite,중립/인지 (Neutral/Cognitive)
deflated,중립/인지 (Neutral/Cognitive)
degrading,수치/죄책감 (Shame/Guilt)
dejected,슬픔/비탄 (Sadness/Grief)
dejection,슬픔/비탄 (Sadness/Grief)
delicate,중립/인지 (Neutral/Cognitive)
delight,기쁨 (Joy/Happiness)
delighted,기쁨 (Joy/Happiness)
delightful,기쁨 (Joy/Happiness)
demand,분노/짜증 (Anger/Irritation)
demanding,분노/짜증 (Anger/Irritation)
deplorable,혐오/경멸 (Disgust/Contempt)
deploration,혐오/경멸 (Disgust/Contempt)
deplore,혐오/경멸 (Disgust/Contempt)
deploring,혐오/경멸 (Disgust/Contempt)
depressed,슬픔/비탄 (Sadness/Grief)
depression,슬픔/비탄 (Sadness/Grief)
desire,갈망/그리움 (Desire/Longing)
desiring,갈망/그리움 (Desire/Longing)
despair,슬픔/비탄 (Sadness/Grief)
despairing,슬픔/비탄 (Sadness/Grief)
desperate,갈망/그리움 (Desire/Longing)
desperation,갈망/그리움 (Desire/Longing)
despicable,혐오/경멸 (Disgust/Contempt)
despise,혐오/경멸 (Disgust/Contempt)
despondency,슬픔/비탄 (Sadness/Grief)
detached,중립/인지 (Neutral/Cognitive)
detachment,중립/인지 (Neutral/Cognitive)
determination,자부심/자신감 (Pride/Confidence)
determined,자부심/자신감 (Pride/Confidence)
detest,혐오/경멸 (Disgust/Contempt)
detestable,혐오/경멸 (Disgust/Contempt)
detestation,혐오/경멸 (Disgust/Contempt)
detesting,혐오/경멸 (Disgust/Contempt)
devastated,슬픔/비탄 (Sadness/Grief)
devastation,슬픔/비탄 (Sadness/Grief)
devious,중립/인지 (Neutral/Cognitive)
devoted,사랑/애정 (Love/Affection)
devotion,사랑/애정 (Love/Affection)
dictating,중립/인지 (Neutral/Cognitive)
difficult,중립/인지 (Neutral/Cognitive)
difficulty,중립/인지 (Neutral/Cognitive)
dignified,자부심/자신감 (Pride/Confidence)
dim,중립/인지 (Neutral/Cognitive)
dimness,중립/인지 (Neutral/Cognitive)
dirtiness,혐오/경멸 (Disgust/Contempt)
dirty,혐오/경멸 (Disgust/Contempt)
disagreeable,분노/짜증 (Anger/Irritation)
disappointed,슬픔/비탄 (Sadness/Grief)
disappointing,슬픔/비탄 (Sadness/Grief)
disappointment,슬픔/비탄 (Sadness/Grief)
disapproval,중립/인지 (Neutral/Cognitive)
disapproving,중립/인지 (Neutral/Cognitive)
disbelief,중립/인지 (Neutral/Cognitive)
disbelieving,중립/인지 (Neutral/Cognitive)
discomfort,중립/인지 (Neutral/Cognitive)
discomforting,중립/인지 (Neutral/Cognitive)
disconcerted,중립/인지 (Neutral/Cognitive)
discontent,분노/짜증 (Anger/Irritation)
discontented,분노/짜증 (Anger/Irritation)
discouraged,슬픔/비탄 (Sadness/Grief)
discouragement,슬픔/비탄 (Sadness/Grief)
discouraging,슬픔/비탄 (Sadness/Grief)
disdain,혐오/경멸 (Disgust/Contempt)
disenchantment,중립/인지 (Neutral/Cognitive)
disgrace,혐오/경멸 (Disgust/Contempt)
disgraced,혐오/경멸 (Disgust/Contempt)
disgraceful,혐오/경멸 (Disgust/Contempt)
disgust,혐오/경멸 (Disgust/Contempt)
disgusting,혐오/경멸 (Disgust/Contempt)
disharmony,혐오/경멸 (Disgust/Contempt)
disheartened,슬픔/비탄 (Sadness/Grief)
disheartenment,슬픔/비탄 (Sadness/Grief)
disillusionment,중립/인지 (Neutral/Cognitive)
disinterest,중립/인지 (Neutral/Cognitive)
disinterested,중립/인지 (Neutral/Cognitive)
dislike,혐오/경멸 (Disgust/Contempt)
dismal,슬픔/비탄 (Sadness/Grief)
dismay,중립/인지 (Neutral/Cognitive)
dismayed,중립/인지 (Neutral/Cognitive)
dispirited,슬픔/비탄 (Sadness/Grief)
displeased,분노/짜증 (Anger/Irritation)
displeasure,분노/짜증 (Anger/Irritation)
disregard,중립/인지 (Neutral/Cognitive)
disrespect,혐오/경멸 (Disgust/Contempt)
disrespectful,혐오/경멸 (Disgust/Contempt)
dissatisfaction,분노/짜증 (Anger/Irritation)
dissatisfatory,분노/짜증 (Anger/Irritation)
dissatisfied,분노/짜증 (Anger/Irritation)
distant,중립/인지 (Neutral/Cognitive)
distaste,혐오/경멸 (Disgust/Contempt)
distasteful,혐오/경멸 (Disgust/Contempt)
distracted,중립/인지 (Neutral/Cognitive)
distraction,중립/인지 (Neutral/Cognitive)
distress,슬픔/비탄 (Sadness/Grief)
distressed,슬픔/비탄 (Sadness/Grief)
distressful,슬픔/비탄 (Sadness/Grief)
distrust,중립/인지 (Neutral/Cognitive)
distrustful,중립/인지 (Neutral/Cognitive)
disturbance,중립/인지 (Neutral/Cognitive)
disturbed,중립/인지 (Neutral/Cognitive)
dizziness,중립/인지 (Neutral/Cognitive)
dizzy,중립/인지 (Neutral/Cognitive)
dogged,자부심/자신감 (Pride/Confidence)
dominated,중립/인지 (Neutral/Cognitive)
doubt,중립/인지 (Neutral/Cognitive)
doubtful,중립/인지 (Neutral/Cognitive)
down,슬픔/비탄 (Sadness/Grief)
downhearted,슬픔/비탄 (Sadness/Grief)
dramatic,놀라움/당황 (Surprise/Bewilderment)
dread,두려움/불안 (Fear/Anxiety)
dreamy,중립/인지 (Neutral/Cognitive)
dreariness,슬픔/비탄 (Sadness/Grief)
dreary,슬픔/비탄 (Sadness/Grief)
dull,혐오/경멸 (Disgust/Contempt)
dullness,혐오/경멸 (Disgust/Contempt)
dumbfounded,놀라움/당황 (Surprise/Bewilderment)
dumbstruck,놀라움/당황 (Surprise/Bewilderment)
eager,기쁨 (Joy/Happiness)
eagerness,기쁨 (Joy/Happiness)
earnest,갈망/그리움 (Desire/Longing)
ease,평온/안정 (Calm/Comfort)
easiness,평온/안정 (Calm/Comfort)
easy,평온/안정 (Calm/Comfort)
easy-going,평온/안정 (Calm/Comfort)
ecstacy,기쁨 (Joy/Happiness)
ecstasy,기쁨 (Joy/Happiness)
ecstatic,기쁨 (Joy/Happiness)
ego,자부심/자신감 (Pride/Confidence)
elated,기쁨 (Joy/Happiness)
elation,기쁨 (Joy/Happiness)
electrification,기쁨 (Joy/Happiness)
electrified,기쁨 (Joy/Happiness)
electrifying,기쁨 (Joy/Happiness)
elegant,기쁨 (Joy/Happiness)
embarrassed,수치/죄책감 (Shame/Guilt)
embarrassing,수치/죄책감 (Shame/Guilt)
embarrassment,수치/죄책감 (Shame/Guilt)
embittered,중립/인지 (Neutral/Cognitive)
emotional,중립/인지 (Neutral/Cognitive)
empathize,사랑/애정 (Love/Affection)
empathy,사랑/애정 (Love/Affection)
emptiness,슬픔/비탄 (Sadness/Grief)
empty,슬픔/비탄 (Sadness/Grief)
emulate,자부심/자신감 (Pride/Confidence)
enamored,사랑/애정 (Love/Affection)
encouragement,존경/감탄 (Admiration/Gratitude)
endure,중립/인지 (Neutral/Cognitive)
energetic,자부심/자신감 (Pride/Confidence)
energy,자부심/자신감 (Pride/Confidence)
engrossing,존경/감탄 (Admiration/Gratitude)
enjoy,기쁨 (Joy/Happiness)
enjoyable,기쁨 (Joy/Happiness)
enjoyment,기쁨 (Joy/Happiness)
enlighten,자부심/자신감 (Pride/Confidence)
enlightenment,자부심/자신감 (Pride/Confidence)
enraged,분노/짜증 (Anger/Irritation)
enragement,분노/짜증 (Anger/Irritation)
enraptured,존경/감탄 (Admiration/Gratitude)
enthusiasm,자부심/자신감 (Pride/Confidence)
enthusiastic,자부심/자신감 (Pride/Confidence)
entice,갈망/그리움 (Desire/Longing)
envious,중립/인지 (Neutral/Cognitive)
envy,중립/인지 (Neutral/Cognitive)
esteem,존경/감탄 (Admiration/Gratitude)
euphoria,존경/감탄 (Admiration/Gratitude)
euphoric,존경/감탄 (Admiration/Gratitude)
evident,중립/인지 (Neutral/Cognitive)
evil,혐오/경멸 (Disgust/Contempt)
exaltation,기쁨 (Joy/Happiness)
exalted,기쁨 (Joy/Happiness)
excited,기쁨 (Joy/Happiness)
excitement,기쁨 (Joy/Happiness)
exciting,기쁨 (Joy/Happiness)
exhilarated,기쁨 (Joy/Happiness)
exhilaration,기쁨 (Joy/Happiness)
expect,갈망/그리움 (Desire/Longing)
expectation,갈망/그리움 (Desire/Longing)
